location_name,target_lat,target_lng,analysis_radius_km,nearby_construction_count,weighted_construction_risk,nearby_sinkhole_count,weighted_sinkhole_risk,avg_daily_visitors,total_daily_visitors,nearby_subway_stations,avg_subway_passengers,avg_rainfall,weighted_rainfall_risk,rainfall_amplification_factor,ongoing_construction_count,recent_sinkhole_count,population_density_score,total_subway_passengers,subway_congestion_risk,physical_risk_score,social_risk_score,final_risk_score,comprehensive_risk_level,comprehensive_risk_category,construction_rainfall_interaction,population_physical_interaction,subway_population_ratio,risk_density,activity_density,distance_from_center,total_infrastructure_risk,total_mobility_volume
용마산역,37.5737,127.0867,0.2,0,0.0,5,0.892433946308045,0.0,0,2463,11206.097036134795,0.0,0.0,1.0,0,0,0.0,27600617,0.2241219407226959,8.031905516772404,2.689463288672351,6.1620507369373865,매우낮음,최저위험,0.0,0.0,27600617.0,49.03604171833207,219638731.39680994,0.10893819348603054,5,27600617
용산역,37.5301,126.9648,0.2,0,0.0,0,0.0,0.0,0,2463,77890.28461226147,0.0,0.0,1.0,0,0,0.0,191843771,1.5578056922452295,0.0,18.693668306942754,6.542783907429964,매우낮음,최저위험,0.0,0.0,191843771.0,52.06582002247922,1526644222.80198,0.03871950412905581,0,191843771
우장산역,37.5488,126.8363,0.2,0,0.0,40,0.9643196238999494,0.0,0,2463,27483.641900121802,0.0,0.0,1.0,0,0,0.0,67692210,0.549672838002436,8.678876615099545,6.596074056029233,7.949895719424935,매우낮음,최저위험,0.0,0.0,67692210.0,63.26326004057889,538677491.5157313,0.1428011904712281,40,67692210
월계역,37.6333,127.0589,0.2,0,0.0,5,0.68,0.0,0,2463,12376.69874137231,0.0,0.0,1.0,0,0,0.0,30483809,0.2475339748274462,6.12,2.9704076979293546,5.017642694275274,매우낮음,최저위험,0.0,0.0,30483809.0,39.92913187314228,242582444.33096033,0.10491448898984375,5,30483809
월곡역,37.6018,127.0415,0.2,0,0.0,76,0.6786089117818084,0.0,0,2463,22277.14778725132,0.0,0.0,1.0,0,0,0.0,54868615,0.4455429557450264,6.107480206036275,5.346515468940317,5.84114254805269,매우낮음,최저위험,0.0,0.0,54868615.0,46.482335491348714,436630564.8928057,0.07265218510134824,76,54868615
월드컵경기장역,37.5696,126.8991,0.2,0,0.0,0,0.0,0.0,0,2463,12101.675192854244,0.0,0.0,1.0,0,0,0.0,29806426,0.24203350385708486,0.0,2.9044020462850186,1.0165407161997564,매우낮음,최저위험,0.0,0.0,29806426.0,8.089373991868337,237192001.69013947,0.07896087638823719,0,29806426
을지로3가역,37.5663,126.991,0.2,0,0.0,0,0.0,0.0,0,2463,62212.7401542834,0.0,0.0,1.0,0,0,0.0,153229979,1.244254803085668,0.0,14.931057637028017,5.225870172959805,매우낮음,최저위험,0.0,0.0,153229979.0,41.58615349915255,1219365429.385866,0.013001538370521228,0,153229979
을지로4가역,37.5666,126.9976,0.2,0,0.0,0,0.0,0.0,0,2463,34979.54689403167,0.0,0.0,1.0,0,0,0.0,86154624,0.6995909378806334,0.0,8.395091254567602,2.9382819390986605,매우낮음,최저위험,0.0,0.0,86154624.0,23.38210474025956,685596713.991182,0.01960025510039189,0,86154624
을지로입구역,37.566,126.9822,0.2,0,0.0,1,0.4,0.0,0,2463,85403.53187170118,0.0,0.0,1.0,0,0,0.0,210348899,1.7080706374340238,3.5999999999999996,20.496847649208284,9.513896677222899,매우낮음,최저위험,0.0,0.0,210348899.0,75.70918421227913,1673903352.4893918,0.0042296571965222095,1,210348899
응봉역,37.55,127.0345,0.2,0,0.0,0,0.0,0.0,0,2463,3386.175801867641,0.0,0.0,1.0,0,0,0.0,8340151,0.06772351603735281,0.0,0.8126821924482338,0.2844387673568818,매우낮음,최저위험,0.0,0.0,8340151.0,2.2634917915906687,66368812.889140695,0.058860003397893164,0,8340151
