grid_id,center_lat,center_lng,active_construction_count,completed_construction_count,construction_density,avg_construction_risk,road_construction_ratio,utility_construction_ratio,construction_duration_avg,closest_district,rainfall_1day,rainfall_3day,rainfall_7day,rainfall_30day,heavy_rain_days,visitor_density,subway_passenger_density,population_variation,peak_population_ratio,risk_level,has_incident,risk_score,incident_count_500m,incident_count_1km,avg_damage_score,max_damage_score,incident_cause_diversity,date,month,quarter,is_rainy_season,day_of_year,construction_weather_interaction,population_construction_ratio,vulnerability_index
G_0064,37.402252,127.166477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,송파구,0.0,14.0,36.5,57.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0065,37.402252,127.172159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,송파구,0.0,14.0,36.5,57.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0066,37.402252,127.177841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,송파구,0.0,14.0,36.5,57.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0067,37.402252,127.183523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,송파구,0.0,14.0,36.5,57.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0068,37.402252,127.189205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,송파구,0.0,14.0,36.5,57.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0069,37.402252,127.194886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,송파구,0.0,14.0,36.5,57.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0070,37.402252,127.200568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,송파구,0.0,14.0,36.5,57.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0071,37.406757,126.802841,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0072,37.406757,126.808523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0073,37.406757,126.814205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0074,37.406757,126.819886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0075,37.406757,126.825568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
G_0076,37.406757,126.83125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,구로구,0.0,4.5,24.5,52.0,0,0.0,0.0,0.0,1.0,0,0,0.0,0,0,0.0,0.0,0,2024-06-25,6,2,1,177,0.0,0.0,0.0
