날짜,위도,경도,자치구,방문자수
20230122,37.6988,127.0155,도봉구,109944
20230122,37.5105,126.9627,동작구,121289
20230122,37.5554,126.9236,마포구,88006
20230122,37.6076,126.947,서대문구,2784
20230122,37.55,127.0802,서울대공원,9276
20230122,37.4764,127.008,서초구,13016
20230122,37.5483,127.0298,성동구,2080
20230122,37.5111,127.0981,송파구,23287
20230122,37.528,126.8619,양천구,86734
20230122,37.5513,126.9882,용산구,510
20230122,37.6525,126.9479,은평구,2733
20230122,37.5776,126.9769,종로구,6721
20230122,37.5656,126.9749,중구,60326
20230122,37.5898,127.0708,중랑구,44075
20230123,37.5091,127.0489,강남구,79040
20230123,37.5612,127.1321,강동구,89880
20230123,37.6589,127.009,강북구,79682
20230123,37.5694,126.835,강서구,42611
20230123,37.4445,126.9639,관악구,27048
20230123,37.5515,127.0838,광진구,65736
20230123,37.484,126.8254,구로구,118120
20230123,37.4513,126.9246,금천구,77933
20230123,37.6789,127.0607,노원구,51523
20230123,37.6988,127.0155,도봉구,113624
20230123,37.5105,126.9627,동작구,122246
20230123,37.5554,126.9236,마포구,103798
20230123,37.6076,126.947,서대문구,3784
20230123,37.55,127.0802,서울대공원,18063
20230123,37.4764,127.008,서초구,20489
20230123,37.5483,127.0298,성동구,3985
20230123,37.5111,127.0981,송파구,26480
20230123,37.528,126.8619,양천구,91183
20230123,37.5513,126.9882,용산구,683
20230123,37.6525,126.9479,은평구,3046
20230123,37.5776,126.9769,종로구,8349
20230123,37.5656,126.9749,중구,74584
20230123,37.5898,127.0708,중랑구,43256
20230124,37.5091,127.0489,강남구,78706
20230124,37.5612,127.1321,강동구,83366
20230124,37.6589,127.009,강북구,71405
20230124,37.5694,126.835,강서구,38961
20230124,37.4445,126.9639,관악구,23892
20230124,37.5515,127.0838,광진구,60330
20230124,37.484,126.8254,구로구,111300
20230124,37.4513,126.9246,금천구,75580
20230124,37.6789,127.0607,노원구,48542
20230124,37.6988,127.0155,도봉구,107845
20230124,37.5105,126.9627,동작구,53597
20230124,37.5554,126.9236,마포구,85364
20230124,37.6076,126.947,서대문구,2517
20230124,37.55,127.0802,서울대공원,3536
20230124,37.4764,127.008,서초구,15062
20230124,37.5483,127.0298,성동구,1580
20230124,37.5111,127.0981,송파구,2429
20230124,37.528,126.8619,양천구,81223
20230124,37.5513,126.9882,용산구,211
20230124,37.6525,126.9479,은평구,1732
20230124,37.5776,126.9769,종로구,3441
20230124,37.5656,126.9749,중구,35564
20230124,37.5898,127.0708,중랑구,40636
20230125,37.5091,127.0489,강남구,104168
20230125,37.5612,127.1321,강동구,94634
20230125,37.6589,127.009,강북구,80666
20230125,37.5694,126.835,강서구,51199
20230125,37.4445,126.9639,관악구,26660
20230125,37.5515,127.0838,광진구,68589
20230125,37.484,126.8254,구로구,118267
20230125,37.4513,126.9246,금천구,97998
20230125,37.6789,127.0607,노원구,50096
20230125,37.6988,127.0155,도봉구,110266
20230125,37.5105,126.9627,동작구,84839
20230125,37.5554,126.9236,마포구,91828
20230125,37.6076,126.947,서대문구,5020
20230125,37.55,127.0802,서울대공원,2755
20230125,37.4764,127.008,서초구,30723
20230125,37.5483,127.0298,성동구,1878
20230125,37.5111,127.0981,송파구,8648
20230125,37.528,126.8619,양천구,88655
20230125,37.5513,126.9882,용산구,400
20230125,37.6525,126.9479,은평구,3839
20230125,37.5776,126.9769,종로구,3937
20230125,37.5656,126.9749,중구,48144
20230125,37.5898,127.0708,중랑구,41584
20230126,37.5091,127.0489,강남구,77911
20230126,37.5612,127.1321,강동구,48163
20230126,37.6589,127.009,강북구,36397
20230126,37.5694,126.835,강서구,30866
20230126,37.4445,126.9639,관악구,15058
20230126,37.5515,127.0838,광진구,38960
20230126,37.484,126.8254,구로구,51089
20230126,37.4513,126.9246,금천구,42368
20230126,37.6789,127.0607,노원구,22246
20230126,37.6988,127.0155,도봉구,51925
20230126,37.5105,126.9627,동작구,34941
20230126,37.5554,126.9236,마포구,38419
20230126,37.6076,126.947,서대문구,4654
20230126,37.55,127.0802,서울대공원,4708
20230126,37.4764,127.008,서초구,35311
20230126,37.5483,127.0298,성동구,2696
20230126,37.5111,127.0981,송파구,1905
20230126,37.528,126.8619,양천구,44887
20230126,37.5513,126.9882,용산구,461
20230126,37.6525,126.9479,은평구,4082
20230126,37.5776,126.9769,종로구,4027
20230126,37.5656,126.9749,중구,59861
20230126,37.5898,127.0708,중랑구,18229
20230127,37.5091,127.0489,강남구,104752
20230127,37.5612,127.1321,강동구,39341
20230127,37.6589,127.009,강북구,62399
20230127,37.5694,126.835,강서구,43363
20230127,37.4445,126.9639,관악구,23159
20230127,37.5515,127.0838,광진구,60993
20230127,37.484,126.8254,구로구,87266
20230127,37.4513,126.9246,금천구,68899
20230127,37.6789,127.0607,노원구,35131
20230127,37.6988,127.0155,도봉구,76255
20230127,37.5105,126.9627,동작구,78543
20230127,37.5554,126.9236,마포구,77258
20230127,37.6076,126.947,서대문구,5152
20230127,37.55,127.0802,서울대공원,4663
20230127,37.4764,127.008,서초구,39686
20230127,37.5483,127.0298,성동구,2761
20230127,37.5111,127.0981,송파구,10684
20230127,37.528,126.8619,양천구,54170
20230127,37.5513,126.9882,용산구,552
20230127,37.6525,126.9479,은평구,4293
20230127,37.5776,126.9769,종로구,4575
20230127,37.5656,126.9749,중구,66133
20230127,37.5898,127.0708,중랑구,29353
20230128,37.5091,127.0489,강남구,122457
20230128,37.5612,127.1321,강동구,72901
20230128,37.6589,127.009,강북구,86828
20230128,37.5694,126.835,강서구,52019
20230128,37.4445,126.9639,관악구,32217
20230128,37.5515,127.0838,광진구,81112
20230128,37.484,126.8254,구로구,125303
20230128,37.4513,126.9246,금천구,94577
20230128,37.6789,127.0607,노원구,53027
20230128,37.6988,127.0155,도봉구,116660
20230128,37.5105,126.9627,동작구,105150
20230128,37.5554,126.9236,마포구,118932
20230128,37.6076,126.947,서대문구,5235
20230128,37.55,127.0802,서울대공원,10613
20230128,37.4764,127.008,서초구,42618
20230128,37.5483,127.0298,성동구,4610
20230128,37.5111,127.0981,송파구,18921
20230128,37.528,126.8619,양천구,100266
20230128,37.5513,126.9882,용산구,786
20230128,37.6525,126.9479,은평구,4550
20230128,37.5776,126.9769,종로구,5882
20230128,37.5656,126.9749,중구,69880
20230128,37.5898,127.0708,중랑구,46091
20230129,37.5091,127.0489,강남구,94870
20230129,37.5612,127.1321,강동구,64868
20230129,37.6589,127.009,강북구,75626
